text,task,time,date
Meet with HR at 10:00am,Meet with hr at,10:00am,
Finish the budget review before 6:45pm,Finish the budget review,6:45pm,
Check email updates around 7:00pm,Check email updates around,7:00pm,
Prepare slides for the presentation on June 19,Prepare slides for the,,June 19
Meet with HR at 5:15pm,Meet with hr at,5:15pm,
Meet with HR at 11:15am,Meet with hr at,11:15am,
Meet with HR at 7:00am,Meet with hr at,7:00am,
Call the client on May 31,Call the client on,,May 31
Prepare slides for the presentation on July 20,Prepare slides for the,,July 20
Meet with HR at 3:00pm,Meet with hr at,3:00pm,
Schedule a team meeting for June 30 at 2:15pm,Schedule a team meeting,2:15pm,June 30
Finish the budget review before 8:15am,Finish the budget review,8:15am,
Set up a one-on-one on July 2 at 10:15am,Set up a one-on-one,10:15am,July 2
Set up a one-on-one on July 12 at 4:00pm,Set up a one-on-one,4:00pm,July 12
I need to review my applications at 8:00am,I need to review,8:00am,
Set up a one-on-one on July 9 at 2:15pm,Set up a one-on-one,2:15pm,July 9
Set up a one-on-one on June 21 at 7:00pm,Set up a one-on-one,7:00pm,June 21
Meet with HR at 3:30pm,Meet with hr at,3:30pm,
Schedule a team meeting for June 19 at 6:30pm,Schedule a team meeting,6:30pm,June 19
Submit the quarterly report by 7:15am,Submit the quarterly report,7:15am,
Check email updates around 9:45pm,Check email updates around,9:45pm,
Prepare slides for the presentation on July 15,Prepare slides for the,,July 15
Prepare slides for the presentation on May 29,Prepare slides for the,,May 29
Prepare slides for the presentation on June 5,Prepare slides for the,,June 5
Send the invoice on June 18,Send the invoice on,,June 18
Schedule a team meeting for May 24 at 10:00am,Schedule a team meeting,10:00am,May 24
Finish the budget review before 6:45pm,Finish the budget review,6:45pm,
Call the client on June 2,Call the client on,,June 2
Call the client on June 21,Call the client on,,June 21
Finish the budget review before 9:00pm,Finish the budget review,9:00pm,
Check email updates around 8:15pm,Check email updates around,8:15pm,
Set up a one-on-one on May 24 at 5:00pm,Set up a one-on-one,5:00pm,May 24
Finish the budget review before 9:45pm,Finish the budget review,9:45pm,
Meet with HR at 6:00am,Meet with hr at,6:00am,
Call the client on July 8,Call the client on,,July 8
Check email updates around 5:00pm,Check email updates around,5:00pm,
I need to review my applications at 12:30pm,I need to review,12:30pm,
Finish the budget review before 8:45am,Finish the budget review,8:45am,
Send the invoice on May 29,Send the invoice on,,May 29
Submit the quarterly report by 6:30pm,Submit the quarterly report,6:30pm,
Prepare slides for the presentation on June 2,Prepare slides for the,,June 2
Set up a one-on-one on May 23 at 6:00pm,Set up a one-on-one,6:00pm,May 23
I need to review my applications at 10:30am,I need to review,10:30am,
Send the invoice on June 28,Send the invoice on,,June 28
Meet with HR at 10:30am,Meet with hr at,10:30am,
Set up a one-on-one on June 15 at 4:15pm,Set up a one-on-one,4:15pm,June 15
Set up a one-on-one on June 22 at 3:30pm,Set up a one-on-one,3:30pm,June 22
Meet with HR at 9:30pm,Meet with hr at,9:30pm,
I need to review my applications at 5:30pm,I need to review,5:30pm,
Submit the quarterly report by 7:30pm,Submit the quarterly report,7:30pm,
I need to review my applications at 9:30pm,I need to review,9:30pm,
Set up a one-on-one on June 27 at 1:00pm,Set up a one-on-one,1:00pm,June 27
Send the invoice on May 30,Send the invoice on,,May 30
Schedule a team meeting for June 2 at 7:00am,Schedule a team meeting,7:00am,June 2
I need to review my applications at 8:30pm,I need to review,8:30pm,
Call the client on June 16,Call the client on,,June 16
Meet with HR at 9:00pm,Meet with hr at,9:00pm,
Call the client on July 2,Call the client on,,July 2
Send the invoice on June 1,Send the invoice on,,June 1
Send the invoice on July 3,Send the invoice on,,July 3
Finish the budget review before 9:15pm,Finish the budget review,9:15pm,
Finish the budget review before 3:15pm,Finish the budget review,3:15pm,
Finish the budget review before 3:15pm,Finish the budget review,3:15pm,
Send the invoice on June 12,Send the invoice on,,June 12
Meet with HR at 2:30pm,Meet with hr at,2:30pm,
Set up a one-on-one on July 12 at 6:45pm,Set up a one-on-one,6:45pm,July 12
Prepare slides for the presentation on May 23,Prepare slides for the,,May 23
Finish the budget review before 8:30am,Finish the budget review,8:30am,
Send the invoice on June 3,Send the invoice on,,June 3
Schedule a team meeting for May 29 at 2:30pm,Schedule a team meeting,2:30pm,May 29
Submit the quarterly report by 1:15pm,Submit the quarterly report,1:15pm,
Meet with HR at 1:15pm,Meet with hr at,1:15pm,
Submit the quarterly report by 7:30pm,Submit the quarterly report,7:30pm,
Send the invoice on May 21,Send the invoice on,,May 21
Meet with HR at 11:45am,Meet with hr at,11:45am,
Send the invoice on July 8,Send the invoice on,,July 8
Finish the budget review before 4:30pm,Finish the budget review,4:30pm,
I need to review my applications at 8:15am,I need to review,8:15am,
I need to review my applications at 11:45am,I need to review,11:45am,
Call the client on July 10,Call the client on,,July 10
Send the invoice on July 16,Send the invoice on,,July 16
I need to review my applications at 6:30am,I need to review,6:30am,
Set up a one-on-one on June 8 at 9:30am,Set up a one-on-one,9:30am,June 8
Send the invoice on July 14,Send the invoice on,,July 14
Meet with HR at 8:30pm,Meet with hr at,8:30pm,
Submit the quarterly report by 4:15pm,Submit the quarterly report,4:15pm,
Send the invoice on May 21,Send the invoice on,,May 21
Prepare slides for the presentation on June 1,Prepare slides for the,,June 1
Set up a one-on-one on June 22 at 6:45pm,Set up a one-on-one,6:45pm,June 22
Prepare slides for the presentation on July 2,Prepare slides for the,,July 2
Submit the quarterly report by 11:15am,Submit the quarterly report,11:15am,
Prepare slides for the presentation on June 6,Prepare slides for the,,June 6
Check email updates around 1:45pm,Check email updates around,1:45pm,
Finish the budget review before 4:30pm,Finish the budget review,4:30pm,
Set up a one-on-one on July 1 at 6:30am,Set up a one-on-one,6:30am,July 1
Prepare slides for the presentation on July 2,Prepare slides for the,,July 2
Submit the quarterly report by 8:30pm,Submit the quarterly report,8:30pm,
Check email updates around 3:00pm,Check email updates around,3:00pm,
Finish the budget review before 5:15pm,Finish the budget review,5:15pm,
Call the client on June 19,Call the client on,,June 19
Set up a one-on-one on July 4 at 5:45pm,Set up a one-on-one,5:45pm,July 4
Meet with HR at 9:15pm,Meet with hr at,9:15pm,
Schedule a team meeting for June 23 at 8:45am,Schedule a team meeting,8:45am,June 23
Prepare slides for the presentation on May 24,Prepare slides for the,,May 24
Meet with HR at 12:15pm,Meet with hr at,12:15pm,
Prepare slides for the presentation on July 3,Prepare slides for the,,July 3
Schedule a team meeting for July 17 at 9:00pm,Schedule a team meeting,9:00pm,July 17
Meet with HR at 8:00pm,Meet with hr at,8:00pm,
Call the client on June 26,Call the client on,,June 26
I need to review my applications at 8:30pm,I need to review,8:30pm,
I need to review my applications at 6:30pm,I need to review,6:30pm,
I need to review my applications at 12:00pm,I need to review,12:00pm,
Check email updates around 5:00pm,Check email updates around,5:00pm,
I need to review my applications at 8:45am,I need to review,8:45am,
Finish the budget review before 7:15pm,Finish the budget review,7:15pm,
Call the client on July 17,Call the client on,,July 17
Check email updates around 8:45pm,Check email updates around,8:45pm,
Submit the quarterly report by 10:30am,Submit the quarterly report,10:30am,
Call the client on July 6,Call the client on,,July 6
Schedule a team meeting for June 9 at 6:00am,Schedule a team meeting,6:00am,June 9
Send the invoice on July 12,Send the invoice on,,July 12
Schedule a team meeting for June 12 at 1:45pm,Schedule a team meeting,1:45pm,June 12
Call the client on July 19,Call the client on,,July 19
Submit the quarterly report by 7:45am,Submit the quarterly report,7:45am,
I need to review my applications at 1:15pm,I need to review,1:15pm,
Submit the quarterly report by 7:45am,Submit the quarterly report,7:45am,
I need to review my applications at 1:00pm,I need to review,1:00pm,
Send the invoice on July 8,Send the invoice on,,July 8
I need to review my applications at 10:30am,I need to review,10:30am,
Set up a one-on-one on June 5 at 4:30pm,Set up a one-on-one,4:30pm,June 5
Finish the budget review before 10:15am,Finish the budget review,10:15am,
Finish the budget review before 2:00pm,Finish the budget review,2:00pm,
Set up a one-on-one on June 25 at 11:45am,Set up a one-on-one,11:45am,June 25
Send the invoice on July 20,Send the invoice on,,July 20
Check email updates around 4:45pm,Check email updates around,4:45pm,
Call the client on June 1,Call the client on,,June 1
Meet with HR at 9:15pm,Meet with hr at,9:15pm,
Schedule a team meeting for July 11 at 3:15pm,Schedule a team meeting,3:15pm,July 11
Send the invoice on June 16,Send the invoice on,,June 16
Meet with HR at 10:45am,Meet with hr at,10:45am,
Finish the budget review before 12:30pm,Finish the budget review,12:30pm,
Submit the quarterly report by 8:30pm,Submit the quarterly report,8:30pm,
Meet with HR at 12:00pm,Meet with hr at,12:00pm,
Check email updates around 7:00am,Check email updates around,7:00am,
Set up a one-on-one on June 3 at 12:45pm,Set up a one-on-one,12:45pm,June 3
Prepare slides for the presentation on June 3,Prepare slides for the,,June 3
Schedule a team meeting for July 18 at 9:45am,Schedule a team meeting,9:45am,July 18
Schedule a team meeting for July 18 at 12:45pm,Schedule a team meeting,12:45pm,July 18
Schedule a team meeting for June 14 at 4:30pm,Schedule a team meeting,4:30pm,June 14
Send the invoice on June 6,Send the invoice on,,June 6
Prepare slides for the presentation on May 27,Prepare slides for the,,May 27
Send the invoice on June 13,Send the invoice on,,June 13
Prepare slides for the presentation on June 26,Prepare slides for the,,June 26
Schedule a team meeting for June 6 at 10:00am,Schedule a team meeting,10:00am,June 6
Meet with HR at 7:30pm,Meet with hr at,7:30pm,
Schedule a team meeting for June 14 at 4:15pm,Schedule a team meeting,4:15pm,June 14
Set up a one-on-one on June 25 at 1:45pm,Set up a one-on-one,1:45pm,June 25
Prepare slides for the presentation on July 6,Prepare slides for the,,July 6
Send the invoice on July 6,Send the invoice on,,July 6
Prepare slides for the presentation on July 6,Prepare slides for the,,July 6
Meet with HR at 9:15pm,Meet with hr at,9:15pm,
Meet with HR at 7:00am,Meet with hr at,7:00am,
Submit the quarterly report by 7:00am,Submit the quarterly report,7:00am,
Call the client on July 5,Call the client on,,July 5
Call the client on June 22,Call the client on,,June 22
Send the invoice on June 29,Send the invoice on,,June 29
Set up a one-on-one on May 22 at 9:45pm,Set up a one-on-one,9:45pm,May 22
I need to review my applications at 7:00pm,I need to review,7:00pm,
Meet with HR at 2:30pm,Meet with hr at,2:30pm,
Meet with HR at 7:15pm,Meet with hr at,7:15pm,
Submit the quarterly report by 10:15am,Submit the quarterly report,10:15am,
Set up a one-on-one on June 7 at 2:30pm,Set up a one-on-one,2:30pm,June 7
Check email updates around 8:30am,Check email updates around,8:30am,
Send the invoice on June 9,Send the invoice on,,June 9
Submit the quarterly report by 7:00am,Submit the quarterly report,7:00am,
Check email updates around 6:45pm,Check email updates around,6:45pm,
I need to review my applications at 11:00am,I need to review,11:00am,
Check email updates around 4:00pm,Check email updates around,4:00pm,
Meet with HR at 7:15am,Meet with hr at,7:15am,
Set up a one-on-one on May 23 at 9:30pm,Set up a one-on-one,9:30pm,May 23
Submit the quarterly report by 2:00pm,Submit the quarterly report,2:00pm,
Prepare slides for the presentation on June 27,Prepare slides for the,,June 27
Call the client on June 9,Call the client on,,June 9
Call the client on July 3,Call the client on,,July 3
Meet with HR at 4:45pm,Meet with hr at,4:45pm,
Call the client on May 24,Call the client on,,May 24
Submit the quarterly report by 7:15pm,Submit the quarterly report,7:15pm,
Submit the quarterly report by 4:45pm,Submit the quarterly report,4:45pm,
Prepare slides for the presentation on July 10,Prepare slides for the,,July 10
Send the invoice on June 12,Send the invoice on,,June 12
Meet with HR at 6:45pm,Meet with hr at,6:45pm,
Set up a one-on-one on July 9 at 6:00pm,Set up a one-on-one,6:00pm,July 9
Set up a one-on-one on July 5 at 3:15pm,Set up a one-on-one,3:15pm,July 5
Submit the quarterly report by 8:30am,Submit the quarterly report,8:30am,
Check email updates around 10:45am,Check email updates around,10:45am,
Prepare slides for the presentation on May 21,Prepare slides for the,,May 21
Finish the budget review before 8:30pm,Finish the budget review,8:30pm,
Finish the budget review before 9:15am,Finish the budget review,9:15am,
Call the client on June 25,Call the client on,,June 25
Meet with HR at 7:00pm,Meet with hr at,7:00pm,
Submit the quarterly report by 5:00pm,Submit the quarterly report,5:00pm,
Set up a one-on-one on May 21 at 4:45pm,Set up a one-on-one,4:45pm,May 21
